Input_Size,Time_ms
32,0.606364
64,0.393226
128,0.438277
256,0.443527
512,0.462802
1024,0.454217
2048,0.477369
4096,0.513304
8192,0.573094
16384,0.695927
32768,1.13819
65536,1.82966
131072,4.64909
262144,6.01537
524288,15.892
1048576,29.908
2097152,156.238
4194304,351.408
8388608,759.073
16777216,1576.94
