Input_Size,Time_ms
32,0.015825
64,0.001353
128,0.002215
256,0.004029
512,0.00862
1024,0.018672
2048,0.04013
4096,0.087677
8192,0.990339
16384,0.432273
32768,0.948635
65536,2.18741
131072,4.67911
262144,11.1858
524288,23.5595
1048576,50.2749
2097152,160.848
4194304,364.566
8388608,777.561
16777216,1560.33
