Input_Size,Time_ms
32,0.012093
64,0.001272
128,0.001583
256,0.002866
512,0.006152
1024,0.013215
2048,0.028674
4096,0.062488
8192,0.172906
16384,0.29599
32768,0.682279
65536,1.69405
131072,3.28095
262144,6.95591
524288,14.6441
1048576,39.372
2097152,138.817
4194304,310.03
8388608,689.132
16777216,1435.41
