Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

10:38:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:38:02     all   14.50    0.00    0.88    0.00    0.12    0.12    0.00    0.00    0.00   84.38
10:38:02       0    1.96    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   96.08
10:38:02       2    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
10:38:02       4    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
10:38:02       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:38:02       8    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
10:38:02      10    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
10:38:02      12   29.29    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   69.70
10:38:02      14   75.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00   21.00

10:38:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:38:03     all   15.44    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   83.81
10:38:03       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:38:03       2    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
10:38:03       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:38:03       6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:38:03       8    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:38:03      10    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:38:03      12   87.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   10.00
10:38:03      14   36.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   14.97    0.00    0.69    0.00    0.19    0.06    0.00    0.00    0.00   84.09
Average:       0    1.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.01
Average:       2    0.99    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   98.51
Average:       4    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
Average:       6    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
Average:       8    1.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:      10    1.99    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.51
Average:      12   58.29    0.00    1.51    0.00    0.50    0.00    0.00    0.00    0.00   39.70
Average:      14   55.50    0.00    1.50    0.00    0.50    0.00    0.00    0.00    0.00   42.50
