Input_Size,Time_ms
32,0.010236
64,0.001725
128,0.002947
256,0.005532
512,0.011117
1024,0.02403
2048,0.055776
4096,0.131598
8192,0.234369
16384,0.466256
32768,0.862058
65536,1.51475
131072,4.36002
262144,9.40138
524288,22.1833
1048576,61.1353
2097152,142.897
4194304,307.426
8388608,631.774
16777216,1321.51
33554432,2762.83
