Input_Size,Time_ms
32,0.454898
64,0.157984
128,0.195502
256,0.212372
512,0.249379
1024,0.187417
2048,0.186556
4096,0.213815
8192,0.249489
16384,0.317211
32768,0.511159
65536,0.96691
131072,1.59716
262144,4.83196
524288,5.63401
1048576,17.033
2097152,95.2771
4194304,238.415
8388608,443.021
16777216,983.963
33554432,2069.51
