Input_Size,Time_ms
32,0.009858
64,0.001393
128,0.002305
256,0.004418
512,0.009889
1024,0.034955
2048,0.040055
4096,0.104135
8192,0.189985
16384,0.412492
32768,0.976186
65536,2.18888
131072,4.65683
262144,9.88293
524288,20.8727
1048576,47.7608
2097152,155.939
4194304,365.071
8388608,698.916
16777216,1427.81
33554432,3054.66
