Input_Size,Time_ms
32,0.718176
64,0.505558
128,0.618319
256,0.555391
512,0.537027
1024,0.610233
2048,0.493726
4096,0.622407
8192,0.565049
16384,0.682329
32768,0.875171
65536,1.45167
131072,2.58729
262144,4.59715
524288,8.90311
1048576,25.0003
2097152,139.238
4194304,346.535
8388608,754.81
16777216,1593.76
