Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:52:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:12     all   23.22    0.00    0.87    0.00    0.37    0.12    0.00    0.00    0.00   75.41
11:52:12       0   17.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
11:52:12       2    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:52:12       4   17.82    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   80.20
11:52:12       6    1.96    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   97.06
11:52:12       8   18.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   81.82
11:52:12      10   19.61    0.00    0.98    0.00    0.98    0.98    0.00    0.00    0.00   77.45
11:52:12      12   69.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   28.00
11:52:12      14   40.82    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   58.16

11:52:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:13     all   29.04    0.00    0.50    0.00    0.63    0.00    0.00    0.00    0.00   69.84
11:52:13       0   23.76    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   75.25
11:52:13       2    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:52:13       4   23.23    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   75.76
11:52:13       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:13       8   27.72    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   71.29
11:52:13      10   28.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
11:52:13      12   38.38    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   60.61
11:52:13      14   87.00    0.00    2.00    0.00    2.00    0.00    0.00    0.00    0.00    9.00

11:52:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:14     all   46.83    0.00    0.62    0.25    1.37    0.25    0.00    0.00    0.00   50.68
11:52:14       0   50.51    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   48.48
11:52:14       2    0.99    0.00    0.99    0.00    0.99    0.99    0.00    0.00    0.00   96.04
11:52:14       4   52.48    0.00    0.99    0.99    1.98    0.00    0.00    0.00    0.00   43.56
11:52:14       6    0.99    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   97.03
11:52:14       8   57.43    0.00    0.99    0.00    0.99    0.99    0.00    0.00    0.00   39.60
11:52:14      10   58.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   40.00
11:52:14      12   57.84    0.00    0.98    0.00    1.96    0.00    0.00    0.00    0.00   39.22
11:52:14      14   97.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    1.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   33.06    0.00    0.67    0.08    0.79    0.12    0.00    0.00    0.00   65.28
Average:       0   30.33    0.00    0.33    0.00    0.67    0.00    0.00    0.00    0.00   68.67
Average:       2    2.33    0.00    0.67    0.00    0.33    0.33    0.00    0.00    0.00   96.33
Average:       4   31.23    0.00    1.00    0.33    1.00    0.00    0.00    0.00    0.00   66.45
Average:       6    0.99    0.00    0.66    0.33    0.00    0.00    0.00    0.00    0.00   98.01
Average:       8   34.55    0.00    0.33    0.00    0.66    0.33    0.00    0.00    0.00   64.12
Average:      10   35.10    0.00    0.33    0.00    0.99    0.33    0.00    0.00    0.00   63.25
Average:      12   55.15    0.00    1.00    0.00    1.33    0.00    0.00    0.00    0.00   42.52
Average:      14   75.17    0.00    1.01    0.00    1.34    0.00    0.00    0.00    0.00   22.48
