Input_Size,Time_ms
32,0.022082
64,0.006773
128,0.006493
256,0.008616
512,0.006894
1024,0.009579
2048,0.006532
4096,0.018235
8192,0.003687
16384,0.012905
32768,0.037552
65536,0.05234
131072,0.059234
262144,0.125321
524288,0.885585
1048576,0.66509
2097152,0.93008
4194304,1.75157
8388608,3.33385
16777216,7.00039
