# started on Sun Dec  7 14:06:38 2025

<not counted>,,cpu_atom/cycles/u,0,0,00,,
25006246796,,cpu_core/cycles/u,5944812058,100,00,,
<not counted>,,cpu_atom/instructions/u,0,0,00,,
45478259393,,cpu_core/instructions/u,5944812058,100,00,1,insn per cycle
<not counted>,,cpu_atom/cache-references/u,0,0,00,,
459987380,,cpu_core/cache-references/u,5944812058,100,00,,
<not counted>,,cpu_atom/cache-misses/u,0,0,00,,
319864617,,cpu_core/cache-misses/u,5944812058,100,00,69,of all cache refs
<not counted>,,cpu_atom/branch-instructions/u,0,0,00,,
5067500578,,cpu_core/branch-instructions/u,5944812058,100,00,,
<not counted>,,cpu_atom/branch-misses/u,0,0,00,,
5218458,,cpu_core/branch-misses/u,5944812058,100,00,0,of all branches
