Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:07:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:12     all   25.19    0.00    1.13    0.25    0.88    0.13    0.00    0.00    0.00   72.43
11:07:12       0   17.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   81.00
11:07:12       2   15.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   83.00
11:07:12       4   18.00    0.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00   79.00
11:07:12       6    9.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   89.00
11:07:12       8   16.16    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   81.82
11:07:12      10   17.82    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   80.20
11:07:12      12   17.17    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   81.82
11:07:12      14   91.92    0.00    4.04    0.00    1.01    0.00    0.00    0.00    0.00    3.03

11:07:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:13     all   33.79    0.00    0.50    0.25    0.88    0.00    0.00    0.00    0.00   64.57
11:07:13       0   25.25    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   73.74
11:07:13       2   26.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   73.00
11:07:13       4   26.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   73.00
11:07:13       6   14.14    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   84.85
11:07:13       8   27.72    0.00    0.99    1.98    0.99    0.00    0.00    0.00    0.00   68.32
11:07:13      10   28.28    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   70.71
11:07:13      12   29.29    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   69.70
11:07:13      14   93.94    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00    3.03

11:07:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:14     all   56.80    0.00    0.12    0.00    2.00    0.00    0.00    0.00    0.00   41.07
11:07:14       0   54.46    0.00    0.00    0.00    1.98    0.00    0.00    0.00    0.00   43.56
11:07:14       2   53.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   45.00
11:07:14       4   54.46    0.00    0.99    0.00    1.98    0.00    0.00    0.00    0.00   42.57
11:07:14       6   30.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   69.00
11:07:14       8   56.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   42.00
11:07:14      10   53.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   45.00
11:07:14      12   57.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   41.00
11:07:14      14   96.97    0.00    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   38.62    0.00    0.58    0.17    1.25    0.04    0.00    0.00    0.00   59.33
Average:       0   32.33    0.00    0.33    0.00    1.00    0.33    0.00    0.00    0.00   66.00
Average:       2   31.33    0.00    0.33    0.00    1.33    0.00    0.00    0.00    0.00   67.00
Average:       4   32.89    0.00    0.33    0.66    1.33    0.00    0.00    0.00    0.00   64.78
Average:       6   17.73    0.00    0.67    0.00    0.67    0.00    0.00    0.00    0.00   80.94
Average:       8   33.33    0.00    0.67    0.67    1.33    0.00    0.00    0.00    0.00   64.00
Average:      10   33.00    0.00    0.33    0.00    1.33    0.00    0.00    0.00    0.00   65.33
Average:      12   34.56    0.00    0.00    0.00    1.34    0.00    0.00    0.00    0.00   64.09
Average:      14   94.28    0.00    2.02    0.00    1.68    0.00    0.00    0.00    0.00    2.02
