Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:07:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:08     all   23.02    0.00    0.88    0.25    0.50    0.00    0.00    0.00    0.00   75.35
11:07:08       0   14.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   85.00
11:07:08       2    4.95    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   94.06
11:07:08       4   19.19    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   79.80
11:07:08       6    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:07:08       8   19.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   80.00
11:07:08      10   18.37    0.00    1.02    2.04    0.00    0.00    0.00    0.00    0.00   78.57
11:07:08      12   55.67    0.00    1.03    0.00    1.03    0.00    0.00    0.00    0.00   42.27
11:07:08      14   53.54    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   43.43

11:07:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:09     all   28.36    0.00    0.50    0.13    0.63    0.00    0.00    0.00    0.00   70.39
11:07:09       0   20.41    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   77.55
11:07:09       2    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:07:09       4   23.76    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   75.25
11:07:09       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:07:09       8   27.72    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   70.30
11:07:09      10   28.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   71.00
11:07:09      12   96.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00    1.00
11:07:09      14   28.28    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   70.71

11:07:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:10     all   46.62    0.00    0.12    0.00    1.00    0.00    0.00    0.00    0.00   52.25
11:07:10       0   50.00    0.00    0.00    0.00    1.96    0.00    0.00    0.00    0.00   48.04
11:07:10       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:07:10       4   56.57    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   42.42
11:07:10       6    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:07:10       8   56.57    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   42.42
11:07:10      10   55.56    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   43.43
11:07:10      12   97.00    0.00    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
11:07:10      14   57.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   42.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   32.69    0.00    0.50    0.13    0.71    0.00    0.00    0.00    0.00   65.97
Average:       0   28.33    0.00    0.33    0.33    1.00    0.00    0.00    0.00    0.00   70.00
Average:       2    2.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.33
Average:       4   33.11    0.00    0.33    0.00    0.67    0.00    0.00    0.00    0.00   65.89
Average:       6    0.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       8   34.33    0.00    0.33    0.00    1.00    0.00    0.00    0.00    0.00   64.33
Average:      10   34.01    0.00    0.34    0.67    0.67    0.00    0.00    0.00    0.00   64.31
Average:      12   83.16    0.00    1.35    0.00    1.35    0.00    0.00    0.00    0.00   14.14
Average:      14   46.31    0.00    0.67    0.00    1.01    0.00    0.00    0.00    0.00   52.01
