Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:44:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:44:55     all   12.12    0.00    1.00    0.25    0.25    0.00    0.00    0.00    0.00   86.38
11:44:55       0    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:44:55       2    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:44:55       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:44:55       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:44:55       8    0.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   98.00
11:44:55      10    1.00    0.00    1.00    2.00    0.00    0.00    0.00    0.00    0.00   96.00
11:44:55      12   94.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00    3.00
11:44:55      14    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98

11:44:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:44:56     all   12.12    0.00    0.38    0.38    0.12    0.12    0.00    0.00    0.00   86.88
11:44:56       0    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:44:56       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:44:56       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:44:56       6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:44:56       8    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
11:44:56      10    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
11:44:56      12   97.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00
11:44:56      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   12.12    0.00    0.69    0.31    0.19    0.06    0.00    0.00    0.00   86.62
Average:       0    0.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   99.00
Average:       2    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       4    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
Average:       6    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
Average:       8    0.00    0.00    0.50    1.00    0.50    0.00    0.00    0.00    0.00   98.00
Average:      10    0.50    0.00    0.50    1.51    0.00    0.00    0.00    0.00    0.00   97.49
Average:      12   95.50    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00    1.50
Average:      14    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
