Input_Size,Time_ms
32,0.711271
64,0.369296
128,0.316255
256,0.442667
512,0.42876
1024,0.443268
2048,0.402951
4096,0.360159
8192,0.399284
16384,0.655514
32768,0.824067
65536,1.38275
131072,2.45548
262144,4.27797
524288,9.38825
1048576,29.4365
2097152,140.558
4194304,342.602
8388608,761.901
16777216,1555.81
