Input_Size,Time_ms
32,0.491682
64,0.256993
128,0.225747
256,0.255611
512,0.315792
1024,0.342733
2048,0.39702
4096,0.409595
8192,0.462682
16384,0.551071
32768,0.652562
65536,0.940648
131072,2.14488
262144,3.1405
524288,6.81683
1048576,15.9238
2097152,43.0497
4194304,101.034
8388608,208.171
16777216,445.21
33554432,909.939
