Input_Size,Time_ms
32,0.032654
64,0.037497
128,0.034422
256,0.039265
512,0.054421
1024,0.049995
2048,0.056352
4096,0.065255
8192,0.082076
16384,0.098327
32768,0.137391
65536,0.279056
131072,0.42114
262144,0.743377
524288,1.72015
1048576,4.59515
2097152,22.2319
4194304,42.414
8388608,86.3744
16777216,118.307
