Input_Size,Time_ms
32,0.813273
64,0.352655
128,0.290983
256,0.317632
512,0.394683
1024,0.368615
2048,0.330625
4096,0.39088
8192,0.527037
16384,0.923695
32768,1.32323
65536,2.34384
131072,2.34555
262144,4.13068
524288,7.94803
1048576,24.4118
2097152,56.57
4194304,126.102
8388608,267.714
16777216,544.755
33554432,1168.18
